L.Act - R.Act Pitch, Yaw, Roll, Contact
 ***Left Actuator value = -0.1 ****
L -0.1   R -0.1  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.04736842105263159   R -0.015789473684210534  P -12.198768924291617,   Y47.53102550532875,    R -0.005138876884754542, AxisA((0.10319143533706665, -0.23461514711380005, 0.9665953516960144), 0.8549116849899292) C1
 L -0.04736842105263159   R -0.005263157894736845  P -12.198768924291617,   Y47.53102550532875,    R -0.005138876884754542, AxisA((0.10319143533706665, -0.23461514711380005, 0.9665953516960144), 0.8549116849899292) C1
 L -0.04736842105263159   R 0.005263157894736831  P -12.198768924291617,   Y47.53102550532875,    R -0.005138876884754542, AxisA((0.10319143533706665, -0.23461514711380005, 0.9665953516960144), 0.8549116849899292) C1
 L -0.04736842105263159   R 0.01578947368421052  P -12.198768924291617,   Y47.53102550532875,    R -0.005138876884754542, AxisA((0.10319143533706665, -0.23461514711380005, 0.9665953516960144), 0.8549116849899292) C1
 L -0.04736842105263159   R 0.02631578947368421  P -12.198768924291617,   Y47.53102550532875,    R -0.005138876884754542, AxisA((0.10319143533706665, -0.23461514711380005, 0.9665953516960144), 0.8549116849899292) C1
 L -0.04736842105263159   R 0.0368421052631579  P -12.198768924291617,   Y47.53102550532875,    R -0.005138876884754542, AxisA((0.10319143533706665, -0.23461514711380005, 0.9665953516960144), 0.8549116849899292) C1
 L -0.04736842105263159   R 0.04736842105263156  P -12.198768924291617,   Y47.53102550532875,    R -0.005138876884754542, AxisA((0.10319143533706665, -0.23461514711380005, 0.9665953516960144), 0.8549116849899292) C1
 L -0.04736842105263159   R 0.05789473684210525  P -11.202463125586053,   Y47.69241979127174,    R -0.005253446129723201, AxisA((0.09520846605300903, -0.2156684249639511, 0.9718140959739685), 0.8537278771400452) C1
 L -0.04736842105263159   R 0.06842105263157894  P -10.858158974500931,   Y47.746662192002894,    R -0.006280966330533766, AxisA((0.09240349382162094, -0.2091084122657776, 0.9735168814659119), 0.8533713817596436) C1
 L -0.04736842105263159   R 0.07894736842105263  P -10.85901413302319,   Y47.763862008237076,    R -0.007173270178390795, AxisA((0.09239515662193298, -0.2090509831905365, 0.973530113697052), 0.8536651134490967) C1
 L -0.04736842105263159   R 0.08947368421052632  P -10.85901413302319,   Y47.763862008237076,    R -0.007173270178390795, AxisA((0.09239515662193298, -0.2090509831905365, 0.973530113697052), 0.8536651134490967) C1
 L -0.04736842105263159   R 0.1  P -10.85901413302319,   Y47.763862008237076,    R -0.007173270178390795, AxisA((0.09239515662193298, -0.2090509831905365, 0.973530113697052), 0.8536651134490967) C1
 ***Left Actuator value = -0.0368421052631579 ****
L -0.0368421052631579   R -0.1  P -10.85901413302319,   Y47.763862008237076,    R -0.007173270178390795, AxisA((0.09239515662193298, -0.2090509831905365, 0.973530113697052), 0.8536651134490967) C1
 L -0.0368421052631579   R -0.08947368421052632  P -10.85901413302319,   Y47.763862008237076,    R -0.007173270178390795, AxisA((0.09239515662193298, -0.2090509831905365, 0.973530113697052), 0.8536651134490967) C1
 L -0.0368421052631579   R -0.07894736842105264  P -10.85901413302319,   Y47.763862008237076,    R -0.007173270178390795, AxisA((0.09239515662193298, -0.2090509831905365, 0.973530113697052), 0.8536651134490967) C1
 L -0.0368421052631579   R -0.06842105263157895  P -10.85901413302319,   Y47.763862008237076,    R -0.007173270178390795, AxisA((0.09239515662193298, -0.2090509831905365, 0.973530113697052), 0.8536651134490967) C1
 L -0.0368421052631579   R -0.05789473684210527  P -12.047099072041043,   Y47.67234287353239,    R -0.0064631025025662595, AxisA((0.10197462141513824, -0.23114681243896484, 0.9675602316856384), 0.8566778898239136) C1
 L -0.0368421052631579   R -0.04736842105263159  P -12.047099072041043,   Y47.67234287353239,    R -0.0064631025025662595, AxisA((0.10197462141513824, -0.23114681243896484, 0.9675602316856384), 0.8566778898239136) C1
 L -0.0368421052631579   R -0.0368421052631579  P -12.047099072041043,   Y47.67234287353239,    R -0.0064631025025662595, AxisA((0.10197462141513824, -0.23114681243896484, 0.9675602316856384), 0.8566778898239136) C1
